date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:20	3343/3343	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:42%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/index.html	(from )
16:47:20	272/272	U-----	200	untouched ('OK')	text/plain	etag:%22110-4a173d6173a00%22	https://www-inst.eecs.berkeley.edu/robots.txt		(from )
16:47:21	3343/3343	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:44%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/?C=N;O=D	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/indexc052.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:21	3343/3343	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:44%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/?C=M;O=A	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/indexf8a0.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:23	3343/3343	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:44%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/?C=S;O=A	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/indexbfec.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:23	3343/3343	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:45%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/?C=D;O=A	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/index30b5.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:23	3351/3351	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:45%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/index.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:26	148/148	U-----	200	untouched ('')	image/gif	etag:%2294-3e9564c23b600%22	https://www-inst.eecs.berkeley.edu/icons/blank.gif	G:/FPGAH/www-inst.eecs.berkeley.edu/icons/blank.gif	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:28	216/216	U-----	200	untouched ('')	image/gif	etag:%22d8-3e9564c23b600%22	https://www-inst.eecs.berkeley.edu/icons/back.gif	G:/FPGAH/www-inst.eecs.berkeley.edu/icons/back.gif	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:28	225/225	U-----	200	untouched ('')	image/gif	etag:%22e1-3e9564c23b600%22	https://www-inst.eecs.berkeley.edu/icons/folder.gif	G:/FPGAH/www-inst.eecs.berkeley.edu/icons/folder.gif	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:29	276/276	U-----	200	untouched ('')	image/gif	etag:%22114-3e9564c23b600%22	https://www-inst.eecs.berkeley.edu/icons/layout.gif	G:/FPGAH/www-inst.eecs.berkeley.edu/icons/layout.gif	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:29	486318/486318	U-----	200	untouched ('')	application/pdf	etag:%2276bae-495841a19125b%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Mingjie3D.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Mingjie3D.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:29	859000/859000	U-----	200	untouched ('')	application/pdf	etag:%22d1b78-4941506ebd498%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/OFC-2010-56Gss-ADC-Enabling-100GbE.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/OFC-2010-56Gss-ADC-Enabling-100GbE.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:29	1191/1191	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:47%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Patents/index.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:31	229/229	U-----	200	untouched ('')	image/gif	etag:%22e5-3e9564c23b600%22	https://www-inst.eecs.berkeley.edu/icons/text.gif	G:/FPGAH/www-inst.eecs.berkeley.edu/icons/text.gif	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
